"Gene","Cluster","logFC","pValue","padj"
"V31596",1,0.977678628951168,0.0031782089448523,0.050108885414346
"V16082",1,0.96931360635957,0.00318031360799448,0.050108885414346
"V14015",1,0.968774813023738,0.00318631199894636,0.050108885414346
"V23088",1,0.972153635155022,0.00318701520582957,0.050108885414346
"V36051",2,0.958847275441349,0.00318747933358178,0.050108885414346
"V3455",1,0.97039280190823,0.00320240559351878,0.050108885414346
"V20526",1,0.968526972389595,0.00320443955504936,0.050108885414346
"V42498",2,0.971976788214669,0.00322683274038784,0.050108885414346
"V44037",2,0.96658943893497,0.0032419735356633,0.050108885414346
"V5142",1,0.96763749122121,0.00324538650974034,0.050108885414346
"V43921",2,0.959378835681253,0.00325271237461558,0.050108885414346
"V19945",2,0.959285292349602,0.00325494267684839,0.050108885414346
"V42485",2,0.964732552258444,0.00326040405467238,0.050108885414346
"V24921",1,0.977030518576823,0.00328394834543838,0.050108885414346
"V32860",1,0.967804070876825,0.0033028850588116,0.050108885414346
"V32461",2,0.95171096859478,0.00330457394442844,0.050108885414346
"V39429",1,0.968404910407238,0.00330480825388983,0.050108885414346
"V21265",1,0.97855193017485,0.00331843032708441,0.050108885414346
"V3132",3,0.966074507283054,0.00332039360153853,0.050108885414346
"V31625",2,0.963592803281284,0.00332490441376129,0.050108885414346
"V5508",2,0.962289789118132,0.00332941023305623,0.050108885414346
"V33610",2,0.974647441325952,0.00332985997131413,0.050108885414346
"V27636",1,0.949971199084559,0.00333026660537188,0.050108885414346
"V36160",2,0.958212966369824,0.00334084059055225,0.050108885414346
"V4847",2,0.96317292580669,0.00334263485980155,0.050108885414346
"V25735",2,0.961364089140508,0.00334367920694365,0.050108885414346
"V43564",2,0.96305028411811,0.00335000411655796,0.050108885414346
"V10753",2,0.956676847898919,0.00335234835098761,0.050108885414346
"V10181",1,0.968232626253222,0.00335276668365912,0.050108885414346
"V7793",2,0.956754155486153,0.00336404967925624,0.050108885414346
"V37199",1,0.96991754164121,0.00336938005412405,0.050108885414346
"V30772",2,0.972396228813627,0.00337324327569868,0.050108885414346
"V41742",1,0.967749110576727,0.0033753072544691,0.050108885414346
"V15958",2,0.958953495251189,0.00337789657093246,0.050108885414346
"V44208",1,0.970009517091566,0.00338838065578604,0.050108885414346
"V33315",1,0.982383898657805,0.00339485796646082,0.050108885414346
"V18467",1,0.962333444441985,0.00340775316232702,0.050108885414346
"V29548",3,0.964491384596746,0.00340914622294767,0.050108885414346
"V23456",2,0.957663584175194,0.00340975584674658,0.050108885414346
"V3937",1,0.96686681271691,0.0034143122866028,0.050108885414346
"V31886",1,0.962061338565223,0.00341636828277086,0.050108885414346
"V44049",2,0.953919574831762,0.00341704150815535,0.050108885414346
"V2557",1,0.97575972401821,0.00342121271496382,0.050108885414346
"V28141",1,0.976331536302394,0.00342606491917432,0.050108885414346
"V39334",3,0.98211511285405,0.00342737614907874,0.050108885414346
"V1756",1,0.96589589092695,0.00342911253296998,0.050108885414346
"V9716",1,0.975657972622226,0.0034301143685618,0.050108885414346
"V36685",3,0.979476897870432,0.00344423256057824,0.050108885414346
